instance,solver,run,nvertices,nedges,n,m,state,value,totalTime,totalIters,bestTime,bestIter
r_n100_p0.25_nA20_nB10_i0,heur_semigreedy2s_v2_a0.2,0,100,1254,20,10,FEASIBLE,3,2.19863,10000,0.00127766,4
r_n150_p0.5_nA30_nB15_i1,heur_semigreedy2s_v2_a0.2,0,150,5532,30,15,FEASIBLE,6,16.1616,15000,1.5474,1156
r_n100_p0.75_nA10_nB20_i1,heur_semigreedy2s_v2_a0.2,0,100,3752,10,20,FEASIBLE,3,4.41819,10000,0.0124121,19
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,2776,30,30,FEASIBLE,3,15.3354,15000,0.32694,314
r_n100_p0.5_nA20_nB20_i1,heur_semigreedy2s_v2_a0.2,0,100,2488,20,20,FEASIBLE,4,4.37696,10000,0.0516658,97
r_n100_p0.25_nA20_nB20_i0,heur_semigreedy2s_v2_a0.1,0,100,1186,20,20,FEASIBLE,3,2.68472,10000,0.000657307,1
r_n150_p0.75_nA15_nB15_i2,heur_semigreedy2s_v2_a0.1,0,150,8450,15,15,FEASIBLE,4,12.8966,15000,0.791442,952
r_n150_p0.25_nA15_nB15_i2,heur_semigreedy2s_v2_a0.1,0,150,2737,15,15,FEASIBLE,2,6.97741,15000,0.00190767,1
r_n150_p0.75_nA15_nB30_i1,heur_semigreedy2s_v2_a0.1,0,150,8396,15,30,FEASIBLE,4,17.2599,15000,0.128324,105
r_n150_p0.5_nA15_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,5571,15,30,FEASIBLE,3,21.1104,15000,0.00230818,0
r_n150_p0.75_nA15_nB15_i1,heur_semigreedy2s_v2_a0.1,0,150,8391,15,15,FEASIBLE,4,12.3955,15000,0.877926,1104
r_n100_p0.75_nA10_nB20_i2,heur_semigreedy2s_v2_a0.1,0,100,3726,10,20,FEASIBLE,3,4.19295,10000,0.0506305,95
r_n100_p0.5_nA20_nB10_i2,heur_semigreedy2s_v2_a0.1,0,100,2426,20,10,FEASIBLE,4,3.16565,10000,0.0344649,96
r_n150_p0.75_nA15_nB15_i0,heur_semigreedy2s_v2_a0.1,0,150,8339,15,15,FEASIBLE,4,16.5217,15000,1.99142,1733
r_n100_p0.75_nA20_nB10_i2,heur_semigreedy2s_v2_a0.1,0,100,3690,20,10,FEASIBLE,8,1.94016,10000,0.00455397,14
r_n150_p0.25_nA15_nB30_i0,heur_semigreedy2s_v2_a0.1,0,150,2807,15,30,FEASIBLE,2,8.39997,15000,0.0239414,42
r_n100_p0.5_nA10_nB10_i1,heur_semigreedy2s_v2_a0.1,0,100,2429,10,10,FEASIBLE,2,2.73572,10000,0.0304746,101
